name,group,by,parameter,base,post,Post-Base,Stdev.P_base,Stdev.P_Post,notes,"Analyzed for QT, QTc etc"
2017-10-24-RatB,Ctrl,JH,iso,0.03804,0.02024,,0.002569,0.000907,,
2017-01-13-RatA,MEHP,,iso,nan,nan,,nan,nan,,
2017-01-27-RatB,Ctrl,,iso,,,,,,,
2017-03-17-RatA,Ctrl,JH,iso,nan,nan,,nan,nan,,
2017-03-17-RatB,Ctrl,JH,iso,0.3102,0.0534,,0.073397,0.042969,,
2016-12-14-RatA,MEHP,JH,iso,nan,nan,,nan,nan,Only 16 minutes of data,
2016-12-15-RatA,MEHP,JH,iso,nan,nan,,nan,nan,Bad Signals,
2016-12-20-RatA,Ctrl,JH,iso,nan,nan,,nan,nan,Corrupted File - Will not open,
2017-02-17-RatA,Ctrl,JH,iso,-0.23368,nan,,0.03207,nan,,
2017-02-17-RatB,MEHP,JH,iso,nan,nan,,nan,nan,,
2017-03-01-RatA,Ctrl,JH,iso,-0.06872,-0.13996,,0.051602,0.029513,,
2017-03-03-RatA,MEHP,JH,iso,-0.0336,-0.07028,,0.021878,0.012174,,
2017-03-08-RatA,Ctrl,JH,iso,-0.11824,-0.31084,,0.049927,0.086338,,
2017-03-08-RatB,MEHP,JH,iso,0.0518,-0.01196,,0.073359,0.042248,,
2017-03-10-RatA,Ctrl,JH,iso,0.05688,nan,,0.018732,nan,,
2017-03-10-RatB,MEHP,JH,iso,-0.2944,-0.03724,,0.038928,0.026181,,
2017-06-21-RatA,MEHP,JH,iso,-0.03436,0.0036,,0.004824,0.004454,,
2017-07-07-RatB,MEHP,JH,iso,nan,nan,,nan,nan,,
2017-11-13-RatA,MEHP,JH,iso,0.01796,0.01228,,0.001038,0.000722,,
2018-04-24-RatA,Ctrl,,iso,,,,,,,
2016-12-21-RatA,Ctrl,JH,Ramp,nan,nan,,nan,nan,,
2016-12-21-RatB,Ctrl,JH,Ramp,nan,nan,,nan,nan,,
2016-12-22-RatB,MEHP,JH,Ramp,-1.3312,-2.281,,0.018725,0.019318,,
2017-10-03-RatA,MEHP,JH,Ramp,0.41144,0.36012,,0.005521,0.003581,,
