"Wavelength (nm)","298805 %T (Unpolarized)","298805 OD (Unpolarized)"
"594.50","6.75057E-05","6.17066"
"595.00","9.12957E-05","6.03955"
"595.50","7.33042E-05","6.13487"
"596.00","7.35373E-05","6.13349"
"596.50","6.11347E-05","6.21371"
"597.00","4.33122E-05","6.36339"
"597.50","5.96877E-05","6.22412"
"598.00","5.07064E-05","6.29494"
"598.50","6.80765E-05","6.16700"
"599.00","4.33525E-05","6.36299"
"599.50","3.75864E-05","6.42497"
"600.00","4.03256E-05","6.39442"
"600.50","4.62099E-05","6.33526"
"601.00","6.06901E-05","6.21688"
"601.50","5.78860E-05","6.23743"
"602.00","4.65497E-05","6.33208"
"602.50","6.43594E-05","6.19139"
"603.00","1.11284E-04","5.95357"
"603.50","1.05338E-04","5.97741"
"604.00","7.87393E-05","6.10381"
"604.50","6.70348E-05","6.17370"
"605.00","5.17232E-05","6.28631"
"605.50","4.77504E-05","6.32102"
"606.00","5.70372E-05","6.24384"
"606.50","2.24899E-05","6.64801"
"607.00","2.46154E-05","6.60879"
"607.50","3.20917E-05","6.49361"
"608.00","2.08589E-05","6.68071"
"608.50","2.20823E-05","6.65596"
"609.00","6.03704E-06","7.21918"
"609.50","6.58321E-06","7.18156"
"610.00","4.34841E-05","6.36167"
"610.50","1.82876E-05","6.73784"
"611.00","2.93659E-05","6.53216"
"611.50","4.01598E-05","6.39621"
"612.00","3.76849E-05","6.42383"
"612.50","4.34449E-05","6.36206"
"613.00","4.49486E-05","6.34728"
"613.50","7.09967E-05","6.14876"
"614.00","8.63199E-05","6.06389"
"614.50","1.03321E-04","5.98581"
"615.00","9.87694E-05","6.00538"
"615.50","7.78064E-05","6.10898"
"616.00","8.37611E-05","6.07696"
"616.50","5.88029E-05","6.23060"
"617.00","6.22582E-05","6.20580"
"617.50","6.10302E-05","6.21446"
"618.00","5.72241E-05","6.24242"
"618.50","6.10151E-05","6.21456"
"619.00","5.87696E-05","6.23085"
"619.50","5.34999E-05","6.27165"
"620.00","4.92113E-05","6.30794"
"620.50","3.95235E-05","6.40314"
"621.00","7.67307E-05","6.11503"
"621.50","3.73192E-05","6.42807"
"622.00","4.75524E-05","6.32283"
"622.50","3.14716E-05","6.50208"
"623.00","4.46581E-05","6.35010"
"623.50","2.35945E-05","6.62719"
"624.00","4.06954E-05","6.39045"
"624.50","4.15376E-05","6.38156"
"625.00","4.63594E-05","6.33386"
"625.50","4.05059E-05","6.39248"
"626.00","3.40262E-05","6.46819"
"626.50","5.14595E-05","6.28853"
"627.00","3.17855E-05","6.49777"
"627.50","5.28190E-05","6.27721"
"628.00","4.40472E-05","6.35608"
"628.50","7.82608E-05","6.10646"
"629.00","7.99488E-05","6.09719"
"629.50","8.83733E-05","6.05368"
"630.00","7.67840E-05","6.11473"
"630.50","8.87871E-05","6.05165"
"631.00","9.92671E-05","6.00319"
"631.50","8.47027E-05","6.07210"
"632.00","8.46853E-05","6.07219"
"632.50","1.15758E-04","5.93645"
"633.00","9.60171E-05","6.01765"
"633.50","8.22910E-05","6.08465"
"634.00","7.83833E-05","6.10578"
"634.50","7.19629E-05","6.14289"
"635.00","7.65663E-05","6.11596"
"635.50","6.08082E-05","6.21604"
"636.00","8.57558E-05","6.06674"
"636.50","6.94026E-05","6.15862"
"637.00","6.39390E-05","6.19423"
"637.50","4.24986E-05","6.37163"
"638.00","5.18939E-05","6.28488"
"638.50","5.51955E-05","6.25810"
"639.00","6.46938E-05","6.18914"
"639.50","7.38266E-05","6.13179"
"640.00","6.28337E-05","6.20181"
"640.50","5.68663E-05","6.24515"
"641.00","6.69733E-05","6.17410"
"641.50","7.64367E-05","6.11670"
"642.00","7.97085E-05","6.09850"
"642.50","8.37290E-05","6.07712"
"643.00","7.15783E-05","6.14522"
"643.50","1.09486E-04","5.96064"
"644.00","8.41977E-05","6.07470"
"644.50","8.18187E-05","6.08715"
"645.00","7.70374E-05","6.11330"
"645.50","8.67106E-05","6.06193"
"646.00","9.85619E-05","6.00629"
"646.50","7.97820E-05","6.09810"
"647.00","9.84356E-05","6.00685"
"647.50","9.66368E-05","6.01486"
"648.00","9.63568E-05","6.01612"
"648.50","9.04090E-05","6.04379"
"649.00","1.00748E-04","5.99676"
"649.50","8.79562E-05","6.05573"
"650.00","8.59948E-05","6.06553"
"650.50","9.19602E-05","6.03640"
"651.00","8.73413E-05","6.05878"
"651.50","8.25107E-05","6.08349"
"652.00","6.69465E-05","6.17427"
"652.50","7.21864E-05","6.14154"
"653.00","7.49353E-05","6.12531"
"653.50","7.34671E-05","6.13391"
"654.00","8.61033E-05","6.06498"
"654.50","5.49300E-05","6.26019"
"655.00","6.01593E-05","6.22070"
"655.50","4.41389E-05","6.35518"
"656.00","4.56930E-05","6.34015"
"656.50","5.12438E-05","6.29036"
"657.00","4.23397E-05","6.37325"
"657.50","4.14532E-05","6.38244"
"658.00","3.99810E-05","6.39815"
"658.50","4.70623E-05","6.32733"
"659.00","2.08674E-05","6.68053"
"659.50","3.61314E-05","6.44212"
"660.00","1.24141E-05","6.90608"
"660.50","2.57878E-06","7.58859"
"661.00","1.27672E-05","6.89390"
"661.50","2.31848E-05","6.63480"
"662.00","2.13714E-05","6.67017"
"662.50","5.35553E-07","8.27120"
"663.00","1.53348E-05","6.81432"
"663.50","8.32509E-06","7.07961"
"664.00","1.90073E-05","6.72108"
"664.50","1.29058E-05","6.88922"
"665.00","6.60547E-06","7.18010"
"665.50","-1.82156E-07","37.00000"
"666.00","8.76101E-06","7.05745"
"666.50","2.48160E-05","6.60527"
"667.00","1.13485E-05","6.94506"
"667.50","2.56606E-05","6.59073"
"668.00","1.18862E-05","6.92496"
"668.50","2.75014E-05","6.56065"
"669.00","2.07060E-05","6.68390"
"669.50","1.26364E-05","6.89838"
"670.00","3.07758E-05","6.51179"
"670.50","1.37152E-05","6.86280"
"671.00","3.37880E-05","6.47124"
"671.50","6.31482E-05","6.19964"
"672.00","5.34319E-05","6.27220"
"672.50","6.48496E-05","6.18809"
"673.00","5.73543E-05","6.24143"
"673.50","7.65959E-05","6.11579"
"674.00","7.74831E-05","6.11079"
"674.50","8.50025E-05","6.07057"
"675.00","8.75726E-05","6.05763"
"675.50","1.00250E-04","5.99892"
"676.00","7.04368E-05","6.15220"
