subject,group,context,file,sig,pcl,BG,EX,blur,lpf,drift,actStart,actEnd,cm_px,stimX,stimY,angle,cv,apexAngle,notes
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,325,59.451,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,335,50.9511,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,345,55.7116,,
20180522-rata,mehp,base,20180522-rata-10.sif,vm,190,0.3,0.5,15,50,NA,1.169,1.206,0.004761626,0.15369,0.74254,355,58.831,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,5,58.5671,115,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,15,60.5408,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,25,75.541,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,35,69.2713,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,45,57.0917,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,55,43.0658,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,65,38.4098,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,75,49.2158,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,85,44.6414,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,95,65.4461,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,105,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,115,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,125,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,135,NaN,,
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,145,NaN,,
